006943:1035.96,-57.1454,142.082,1041.24,-57.604,144.973,1028.9,-54.5644,145.257,1059.08,-53.5468,145.464,1027.89,-46.44,145.04,1076.51,-48.5147,127.345,1022.23,-38.3751,126.87,1080.55,-50.7316,100.882,1014.78,-40.6993,99.3523,1041.63,-62.4378,82.9917,1022.13,-58.8787,83.4006,1089.33,-42.6909,76.311,1051.84,-33.0031,77.6908,1055.38,-51.5612,46.8604,1011.94,-35.2767,48.3477,1080.03,-40.6293,14.3822,1042.64,-11.5779,14.4753,1027.34,-93.2505,66.5742,1018.56,-100.98,57.855,1026.3,-114.954,60.3802,1031.92,-107.439,68.5094,0,0,0
006944:1032.94,-57.2099,143.198,1037.13,-57.7276,146.074,1026.85,-54.6783,146.357,1051.37,-53.8803,146.199,1026.26,-46.7687,145.872,1066.65,-48.9416,128.119,1022.53,-38.7345,127.745,1074.12,-50.9848,102.132,1025.84,-40.7084,100.155,1046.53,-63.1952,83.9861,1043.14,-58.5105,82.8315,1079.66,-42.7414,77.7777,1048.07,-33.144,78.9622,1051.72,-51.3782,47.6289,1012.4,-35.7115,48.9237,1083.05,-40.0318,14.5881,1045.86,-12.2217,14.0789,1025.26,-94.0459,67.4446,1019.61,-102.338,58.1787,1022.66,-115.772,60.6032,1027.12,-107.949,69.1993,0,0,0
006945:1036.56,-58.4047,142.922,1040.76,-58.7285,145.812,1030.84,-56.0153,146.141,1054.75,-54.287,146.13,1030.42,-47.9607,145.717,1069.55,-48.9515,127.792,1025.04,-39.6506,127.454,1078.78,-52.2067,101.035,1023.47,-41.3699,99.606,1040.21,-64.9633,82.7922,1041.12,-59.4428,82.237,1079.36,-42.1444,77.0899,1048.41,-33.3265,78.2019,1053.95,-51.5313,46.8847,1015.58,-37.0319,48.0891,1083.76,-39.9086,14.1029,1047.02,-13.5397,13.4723,1027.63,-95.5423,68.493,1015.26,-103.05,60.406,1023.62,-116.884,63.2889,1030.44,-109.064,70.9397,0,0,0
006946:1032.35,-58.7922,142.639,1038.16,-59.015,145.488,1025.45,-56.4998,145.886,1057.22,-54.2453,146.234,1025.56,-48.4917,145.785,1076.38,-48.5739,128.136,1020.57,-40.405,127.8,1084.69,-51.8319,101.022,1015.06,-42.3374,99.6082,1038.99,-65.4115,83.0144,1032.97,-60.0959,82.2313,1087.4,-41.8382,77.0401,1049.62,-33.8941,78.3341,1058.01,-51.4368,46.8584,1014.98,-38.5476,48.3028,1079.37,-39.5691,14.7733,1043.15,-15.5149,13.9289,1023.66,-96.2939,68.9316,1013.13,-104.282,61.015,1023.9,-118.087,63.6267,1029.71,-110.097,70.8941,0,0,0
006947:1037.45,-58.5312,143.043,1043.51,-58.9625,145.847,1029.9,-56.1176,146.228,1063.2,-54.8283,146.316,1028.01,-48.383,145.73,1082.38,-49.7146,127.981,1018.97,-40.7734,127.693,1086.03,-52.5462,100.766,1002.71,-43.4215,100.433,1038.17,-66.2729,83.0271,1016.77,-61.9831,83.7004,1093.93,-43.1685,76.9397,1051.4,-34.8088,78.4614,1056.58,-51.7455,47.6138,1009.04,-39.2078,49.1577,1081.2,-39.346,15.7282,1038,-16.9229,15.0567,1023.34,-97.0569,69.2957,1009.3,-104.761,61.3919,1019.46,-118.571,64.2076,1028.89,-110.869,71.4193,0,0,0
006948:1035.01,-59.2029,141.303,1042.16,-59.5989,144.095,1026.64,-56.8677,144.53,1064.33,-55.1747,144.958,1024.13,-49.0448,144.551,1085.73,-49.652,127.291,1014.16,-41.3318,127.336,1092.01,-52.4201,101.155,1003.74,-44.4136,101.001,1046.2,-66.4542,84.6743,1020.02,-63.2069,86.1388,1093.03,-42.6276,76.6377,1045.69,-34.8238,78.4873,1063.06,-51.5261,46.5224,1010.69,-40.1284,48.6418,1079.53,-39.23,15.1459,1038.77,-18.752,14.2944,1025.61,-97.6554,70.3191,1011.63,-105.883,61.8031,1016.46,-119.347,65.462,1027.69,-111.491,73.1194,0,0,0
006949:1034.21,-59.5713,141.666,1041.64,-60.0271,144.414,1025.55,-57.1934,144.895,1064.9,-55.7416,145.184,1022.63,-49.4247,144.811,1087.91,-50.3807,127.538,1011.36,-41.8273,127.723,1093.7,-53.3057,101.454,992.42,-44.857,101.738,1045.64,-67.6965,85.4929,1010.14,-64.3248,86.957,1098.31,-43.3546,76.9226,1047.99,-35.561,78.9815,1066.24,-51.428,46.6493,1011.69,-40.8567,49.0338,1078.23,-38.8784,15.3869,1034.95,-19.9476,14.9487,1021.66,-98.3928,71.4053,1012.02,-107.642,62.6151,1014.67,-120.491,66.5041,1026.08,-112.523,74.0831,0,0,0
006950:1034.54,-59.8783,142.389,1041.07,-60.2413,145.082,1027.3,-57.6588,145.576,1062.87,-55.7523,145.621,1026.52,-49.9108,145.144,1084.33,-50.1413,127.889,1016.72,-42.1971,127.816,1091.45,-52.8973,101.885,1007.31,-45.7385,101.583,1052.05,-68.4168,85.6074,1020.51,-64.1714,87.0694,1091.8,-42.8603,77.6796,1046.71,-35.6216,79.2425,1063.54,-51.6993,47.445,1010.22,-42.2794,49.4139,1079.34,-38.2305,16.4774,1031.25,-21.7644,15.4857,1025.79,-99.3503,72.6712,1011.51,-108.049,63.9789,1016.57,-121.811,67.9705,1027.72,-113.349,75.8379,0,0,0
006951:1030.9,-60.4322,141.596,1036.56,-61.1713,144.256,1024.27,-57.9959,144.808,1057.05,-57.6956,144.529,1023.77,-50.2943,144.359,1078.02,-53.0284,126.989,1017.09,-42.3258,127.358,1084.39,-56.3595,101.751,1011.21,-45.6828,102.099,1038.4,-69.4925,86.3035,1020.9,-64.7509,88.3163,1090.02,-44.7904,77.6921,1048.7,-36.0953,79.3028,1063.2,-52.3626,47.4594,1013.21,-42.7309,49.3336,1081.06,-38.1023,16.5877,1035.7,-23.785,15.0617,1026.2,-100.17,73.4731,1014.61,-109.161,64.6732,1017.98,-122.772,68.8045,1027.51,-113.99,76.8639,0,0,0
006952:1032.97,-60.5521,142.448,1039.74,-61.3897,145.06,1026.05,-58.0925,145.633,1062.72,-57.9653,145.257,1025.92,-50.3203,144.94,1085.72,-53.2968,127.491,1016.92,-42.3237,127.669,1091.07,-56.2448,101.987,1009.88,-46.9791,102.024,1045.08,-69.9843,86.9307,1015.23,-65.8509,88.3655,1095.32,-45.0426,77.5493,1050.22,-36.3733,79.1428,1061.68,-52.3982,47.7072,1012.82,-43.9898,49.2097,1077.96,-37.7771,17.0868,1040.15,-26.5786,14.396,1024.19,-100.509,74.7333,1017.98,-111.054,65.871,1019.62,-123.837,70.4618,1029,-114.692,78.1613,0,0,0
