014828:1197.72,-132.495,164.743,1203.35,-133.396,165.689,1197.2,-128.269,165.773,1213.11,-132.297,156.877,1196.77,-120.504,157.492,1206.49,-137.258,139.089,1187.84,-115.858,139.358,1224.62,-141.085,127.01,1161.49,-112.248,133.249,1240.12,-152.281,144.663,1165.08,-119.657,148.014,1206.38,-135.409,87.3492,1196.43,-117.129,86.5578,1211.03,-146.227,51.6595,1162.3,-110.212,60.5961,1224.2,-133.248,9.1768,1165.42,-83.5686,18.8848,1239.22,-154.11,178.977,1233.35,-163.704,190.932,1225.78,-152.611,201.661,1230.53,-144.979,190.544,0,0,0
014829:1216.39,-135.172,161.448,1215.57,-134.832,164.415,1216.23,-130.653,163.078,1201.04,-129.347,162.175,1204.13,-121.394,158.668,1223.72,-140.41,133.933,1214.58,-123.893,135.864,1226.56,-143.034,128.062,1162.16,-111.592,136.077,1246.5,-154.038,145.531,1152.47,-119.519,156.216,1202.02,-134.406,87.4879,1228.3,-124.646,79.4866,1209.92,-146.244,50.9656,1162.77,-110.442,59.0371,1200.75,-127.846,13.1615,1156.28,-81.9559,20.3483,1231.41,-154.578,179.363,1226.07,-160.729,194.166,1234.88,-152.051,201.172,1233.04,-144.587,191.355,0,0,0
014830:1196.63,-131.085,169.22,1196.84,-131.442,171.375,1201.06,-127.016,169.392,1198.9,-130.14,164.093,1205.56,-120.996,159.728,1193.75,-136.872,145.884,1178.17,-121.158,144.393,1203.04,-144.806,145.718,1171.08,-113.098,134.04,1240.65,-152.547,146.916,1180.25,-122.436,147.342,1202.62,-134.418,89.0088,1209.85,-119.358,88.3615,1202.2,-144.032,53.5322,1185.02,-115.676,57.7876,1228.24,-133.032,7.08972,1171.73,-85.1164,19.1858,1239.2,-150.099,179.317,1238.24,-160.038,193.297,1239.04,-151.798,201.289,1227.06,-142.64,194.476,0,0,0
014831:1213.99,-132.97,165.416,1215.74,-133.563,167.363,1215.1,-129.224,166.822,1218.87,-131.374,161.276,1211.17,-122.484,160.777,1211.6,-137.069,140.71,1177.15,-118.981,145.788,1230.84,-144.428,127,1170.83,-113.429,137.066,1244.28,-153.416,146.735,1158.7,-117.629,157.862,1205.56,-135.755,88.5449,1204.55,-118.168,88.8373,1210.35,-146.083,51.4928,1166.7,-112.066,61.0278,1225.83,-132.63,9.91498,1171.96,-85.1809,18.9264,1226.81,-150.896,182.148,1238.33,-159.459,192.996,1232.21,-149.968,203.784,1223.52,-141.708,195.846,0,0,0
014832:1218.22,-133.974,165.425,1214.18,-133.828,168.38,1217.85,-130.164,166.99,1210.58,-131.657,162.928,1207.93,-122.726,161.455,1209.71,-137.484,141.735,1174.83,-120.271,146.812,1241.88,-146.381,127.177,1171.8,-113.64,137.227,1246.26,-153.578,150.314,1163.03,-117.254,152.507,1227.89,-134.839,83.2532,1208.98,-119.092,89.3657,1206.62,-145.092,53.0563,1166.38,-112.5,62.3626,1248.83,-132.123,2.53291,1178.41,-86.502,18.4617,1226.18,-150.662,183.115,1231.86,-157.013,196.043,1222.13,-146.104,206.819,1223.34,-140.069,196.533,0,0,0
014833:1210.8,-133.644,169.086,1215.59,-134.268,170.533,1207.36,-129.492,171.182,1217.14,-131.571,163.544,1202.1,-122.324,164.224,1216.63,-140.028,141.535,1203.59,-123.614,143.353,1234.73,-143.743,131.562,1161.59,-111.237,139.414,1231.02,-149.969,150.59,1171.88,-117.926,157.741,1202.69,-138.947,90.9257,1231.51,-124.501,82.877,1215.99,-147.536,49.7043,1180.9,-116.012,57.9184,1227.01,-132.443,7.1693,1173.43,-85.6464,16.5371,1230.79,-150.105,184.42,1230.28,-156.547,197.007,1224.23,-145.971,207.1,1225.6,-138.729,196.685,0,0,0
014834:1215.16,-132.19,169.709,1216.64,-133.02,171.712,1212.82,-128.22,170.855,1215.03,-132.204,164.626,1202.39,-122.058,163.669,1213.85,-139.241,143.316,1169.16,-121.607,148.412,1235.75,-143.925,132.253,1171.8,-113.317,141.841,1254.65,-155.095,155.706,1171.87,-117.773,159.675,1199.32,-138.374,92.2576,1209.21,-119.683,90.4911,1207.52,-145.254,53.6493,1167.63,-113.327,63.0864,1225.83,-133.721,9.70117,1176.58,-86.1216,18.5189,1228.73,-149.412,187.352,1230.28,-156.547,197.007,1224.92,-145.096,208.608,1226.2,-138.218,197.068,0,0,0
014835:1207.5,-134.77,168.116,1206.94,-134.743,170.697,1206.61,-130.777,169.587,1213.65,-132.772,164.131,1198.3,-123.94,164.079,1210.89,-139.038,145.485,1163.13,-123.488,153.287,1235.83,-143.922,132.484,1163.75,-111.755,147.19,1239.07,-151.891,150.331,1170.47,-117.377,160.678,1193.83,-137.562,94.2561,1208.03,-120.536,92.2928,1202.75,-143.983,55.6935,1174.11,-115.121,62.1096,1226.5,-133.38,10.1407,1184.21,-87.7909,16.4491,1235.4,-147.848,187.033,1230.28,-156.547,197.007,1231,-145.561,209.134,1230.09,-137.938,196.305,0,0,0
014836:1215.17,-133.698,171.702,1220.33,-133.726,172.775,1219.83,-129.826,171.458,1223.99,-131.716,165.598,1210,-123.283,164.087,1211.26,-139.35,146.571,1161.77,-121.928,155.434,1242.63,-143.493,133.844,1168.28,-113.6,140.194,1240.14,-152.17,150.206,1176.29,-118.454,159.899,1202.15,-139.541,93.5118,1211.54,-121.556,93.0277,1206.77,-145.035,54.213,1170.18,-115.402,63.1242,1221.63,-133.16,11.4415,1193.5,-89.8143,14.2554,1232.7,-147.167,187.323,1232.8,-154.73,200.49,1232.97,-145.954,209.972,1236.12,-136.561,196.24,0,0,0
014837:1184.91,-135.089,173.858,1194.62,-134.999,174.494,1172.65,-131.824,177.183,1225.47,-131.922,164.251,1159.27,-126.556,173.346,1216.51,-140.728,148.72,1163.45,-122.333,155.189,1243.9,-143.42,134.686,1169.18,-112.664,147.173,1242.44,-152.609,151.423,1173.75,-117.781,161.251,1203.59,-139.901,93.1584,1208.94,-121.565,93.6379,1203.56,-144.175,55.6278,1165.06,-116.238,65.1971,1223.71,-133.654,10.9819,1187.44,-90.7249,19.2917,1228.16,-147.487,189.978,1232.33,-152.229,203.027,1232.04,-144.099,211.349,1232.09,-135.897,196.997,0,0,0
014838:1205.61,-134.657,173.514,1209.43,-135.005,175.149,1202.61,-130.874,174.861,1220.62,-133.194,167.552,1187.04,-124.632,170.206,1214.14,-140.076,150.052,1163.66,-121.921,156.436,1245.27,-143.593,136.394,1171.04,-113.079,147.148,1242.97,-151.974,153.433,1174.16,-116.765,164.387,1205.26,-140.246,93.6246,1210.77,-121.924,94.2182,1207.22,-145.046,55.3276,1165.44,-116.621,65.2218,1221.1,-133.575,12.8591,1186.57,-92.2529,21.5601,1234.83,-145.917,189.864,1232.37,-152.228,203.163,1232,-144.1,211.204,1234.1,-136.254,198.209,0,0,0
014839:1224.62,-134.915,173.078,1229.17,-135.016,174.459,1224.7,-131.25,173.917,1239.31,-132.459,166.155,1208.89,-124.495,168.336,1213.79,-140.021,149.778,1169.75,-122.225,156.77,1246.32,-143.524,136.349,1177.89,-112.699,148.849,1248.36,-151.043,153.666,1176.02,-117.144,164.949,1205.79,-140.358,93.7581,1184.69,-124.901,101.407,1209.31,-144.87,55.823,1179.21,-115.258,63.0087,1211.57,-134.014,16.6965,1190.28,-93.1385,19.6871,1234.54,-145.922,188.755,1229.98,-151.539,204.528,1221.77,-140.276,213.614,1235.68,-136.172,200.288,0,0,0
014840:1207.75,-133.813,175.644,1215.13,-134.465,176.576,1199.88,-130.426,177.928,1231.7,-133.081,167.854,1178.36,-125.702,174.36,1216.34,-139.941,150.561,1175,-123.105,156.284,1243.72,-143.968,139.154,1175.96,-112.182,150.009,1288.12,-149.74,143.973,1172.47,-115.482,168.738,1199.19,-140.593,99.3886,1214.77,-122.95,96.5254,1218.89,-143.288,56.3725,1176.18,-115.943,65.3104,1236.49,-134.137,7.96248,1192.2,-94.053,21.599,1227.73,-146.407,192.583,1236.1,-151.161,204.352,1224.12,-140.375,215.321,1240.24,-134.668,201.182,0,0,0
014841:1242.36,-133.396,166.122,1245.12,-133.774,168.032,1230.08,-130,169.863,1244.38,-132.906,163.118,1185,-126.731,172.197,1222.52,-140.391,151.334,1174.68,-122.241,157.382,1243.79,-143.967,139.45,1162.18,-115.091,149.498,1257.32,-150.875,158.396,1176.2,-116.441,167.347,1203.48,-141.922,99.4844,1216.92,-123.763,96.4656,1214.02,-143.273,58.6385,1181.65,-117.269,63.692,1214.5,-134.788,15.2288,1193.58,-94.1549,23.9855,1234.24,-145.441,194.226,1233.74,-148.785,207.809,1210.93,-137.134,217.189,1297.56,-148.11,196.294,0,0,0
014842:1211.3,-136.133,176.211,1214.75,-136.162,177.768,1206.97,-132.552,178.202,1230.98,-133.397,168.972,1195.85,-126.378,173.339,1219.78,-139.599,153.655,1176.78,-122.648,158.207,1245.85,-143.831,139.216,1169.12,-113.183,157.029,1256.72,-150.73,158.483,1177.46,-116.508,170.051,1200.4,-142.014,100.998,1218.76,-124.702,97.7139,1213.02,-143.03,58.833,1128.68,-122.668,79.2446,1217,-133.743,15.6918,1194.88,-95.883,25.3428,1247.07,-144.595,192.97,1233.74,-148.785,207.809,1218.51,-138.296,217.41,1225.18,-131.52,205.158,0,0,0
