637.016,-179.089,213.215
634.788,-179.542,212.513
632.867,-179.47,211.821
630.953,-179.397,211.132
629.045,-179.325,210.445
625.223,-179.172,209.67
624.954,-179.702,209.071
623.093,-179.639,208.393
619.312,-179.486,207.629
617.448,-179.414,206.367
615.586,-179.343,206.284
613.735,-179.271,205.029
611.595,-179.714,204.358
609.781,-179.652,203.696
607.948,-179.581,203.035
606.121,-179.51,202.377
604.036,-179.957,201.135
602.223,-179.885,200.482
600.416,-179.814,199.832
598.641,-179.753,199.185
595.033,-179.603,197.894
593.276,-179.543,197.254
593.014,-180.054,196.674
591.266,-179.993,195.463
587.707,-179.843,194.767
585.977,-179.782,193.565
584.252,-179.723,192.938
583.993,-180.228,191.793
582.248,-180.158,191.169
578.776,-180.019,190.494
577.077,-179.959,189.31
575.358,-179.889,188.129
573.669,-179.83,187.517
571.987,-179.771,186.344
568.56,-179.625,185.691
568.33,-180.132,184.566
566.639,-180.063,183.963
564.981,-180.004,182.804
563.328,-179.945,181.648
559.984,-179.81,181.018
559.755,-180.313,179.902
558.118,-180.254,179.313
556.463,-180.186,178.171
554.84,-180.127,177.032
553.219,-180.07,176.451
551.606,-180.012,175.319
548.342,-179.878,174.166
546.745,-179.821,173.044
546.518,-180.317,172.493
544.927,-180.26,171.376
543.342,-180.203,170.261
541.762,-180.146,169.151
540.185,-180.09,168.59
536.998,-179.957,166.928
535.438,-179.901,165.83
533.883,-179.846,165.278
532.334,-179.79,164.186
530.792,-179.735,162.557
529.253,-179.68,161.473
527.718,-179.626,160.931
526.191,-179.571,159.315
525.996,-180.066,158.24
522.9,-179.937,157.171
521.387,-179.882,156.105
521.167,-180.364,155.034
518.401,-179.785,153.981
518.182,-180.266,152.914
516.685,-180.212,151.859
513.921,-179.625,150.82
512.463,-179.584,149.773
510.984,-179.531,148.729
466.812,-177.754,112.392
