006328:1048.09,87.7943,143.323,1047.05,85.2004,147.834,1049,90.9307,146.235,1033.85,78.1496,147.697,1039.22,93.4062,145.23,1011.14,64.5303,128.228,1018.01,94.5399,125.329,1005.05,49.3747,97.9693,1020.17,102.535,96.9056,998.105,40.6761,64.1347,1026.06,108.92,67.9643,963.68,58.8987,83.8788,975.068,78.7924,81.5385,987.439,54.493,51.1314,1010.49,79.7798,48.548,987.514,59.1323,18.9669,1006.61,82.6915,16.0224,1000.95,117.45,67.2793,1012.16,124.92,47.3645,1006.9,125.63,34.6461,1001.16,118.449,49.7783
006329:1039.7,87.5513,142.682,1039.78,85.1065,147.208,1040.08,90.6426,145.573,1030.77,78.5074,147.329,1033.46,93.4506,144.749,1014.94,65.4043,128.361,1016.34,94.8413,124.895,1016.03,50.8316,99.11,1018.35,102.392,96.1148,1013.9,42.5927,67.0495,1023.25,108.571,66.617,970.092,59.6623,83.4615,978.037,79.1204,80.737,984.81,54.5014,50.5762,1003.59,78.3184,47.5898,990.498,60.7147,17.8131,1007.5,82.2135,13.9875,986.065,114.986,67.7053,1012.73,125.43,46.2263,1006.85,126.16,32.4694,990.284,116.831,47.908
006330:1047.88,88.8276,144.089,1047.59,86.4273,148.281,1048.5,91.8322,146.783,1042.14,80.7484,147.824,1045.83,95.3549,145.484,1032.71,68.8345,129.341,1035.56,98.0194,125.467,1040.62,54.6243,101.828,1033.91,105.018,97.3984,1031.52,44.1194,71.7935,1030.29,109.553,68.2367,997.426,64.7953,85.53,1005.05,83.9799,82.1168,999.951,58.3522,55.6677,1017.38,81.5207,52.0759,1018.11,65.9333,25.2071,1029.01,86.3434,19.7841,994.021,116.712,66.103,999.868,123.319,52.157,1002.08,125.833,35.6357,990.541,117.353,48.9824
006331:1045.82,90.5571,145.282,1045.51,87.9471,149.306,1046.11,93.4486,147.912,1045.16,82.128,148.176,1048.52,96.8946,146.023,1046.03,70.8911,129.187,1046.5,99.9992,125.137,1064.07,57.927,102.665,1041.02,106.472,97.5557,1059.76,48.6068,74.895,1028.31,109.942,70.12,1023.11,68.5884,83.1601,1027.88,87.5516,79.4656,1014.74,61.4906,52.8462,1025.33,82.6131,49.259,1026.66,69.8353,22.9746,1029.53,86.6137,17.1358,992.221,117.324,64.0622,1000.91,124.336,51.0015,1001.36,126.395,35.7131,991.308,118.375,48.3964
006332:1046.14,90.8724,146.198,1046.15,88.3202,150.143,1047.43,93.7632,148.772,1046.31,82.6223,148.787,1050.93,97.2105,146.704,1048.6,71.8316,130.066,1048.38,100.331,126.099,1071.23,59.7373,103.743,1042.06,106.771,98.5923,1068.66,50.8162,76.4186,1032.02,110.686,70.7061,1022.25,69.68,84.6669,1028.06,88.3183,80.9672,1014.46,62.4684,54.2714,1032.53,83.7367,50.1648,1024.83,71.5059,24.6376,1044.36,89.2388,16.8497,1008.76,120.431,50.5678,995.518,122.921,45.0217,985.033,122.861,39.3045,995.948,119.226,45.4005
006333:1036.32,90.1362,143.985,1037.59,87.7798,147.967,1036.32,92.7251,146.571,1040.35,82.4562,147.09,1039.82,95.9614,145.25,1045.03,72.1496,129.074,1036.81,98.846,125.684,1070.43,60.428,102.029,1029.48,105.216,98.3136,1069.76,51.054,73.0715,1020.54,109.651,69.4818,1016.03,69.7159,85.992,1016.77,87.1444,82.6937,1015.28,62.9982,56.4592,1024.67,82.2543,53.1192,1030.88,72.9893,27.5406,1037.21,87.7804,21.6478,978.122,115.395,70.942,1005.47,125.217,52.2986,1006.12,127.282,39.1361,982.157,117.245,53.9793
006334:1040.92,91.5152,145.591,1042.02,89.0376,149.408,1040.37,94.0825,148.057,1044.74,83.4785,148.259,1043.92,97.2657,146.186,1049.29,72.8844,130.15,1043.31,100.422,125.84,1073.74,60.8071,105.336,1036.42,106.901,98.6827,1086.43,50.0911,78.91,1025.41,111.081,70.1273,1026.6,71.3889,86.3909,1029.34,89.3426,82.367,1010.94,63.4029,58.734,1030.1,83.3651,54.2434,1027.82,74.278,31.7147,1048.68,89.8707,22.9936,989.226,118.01,67.5375,1002.51,125.334,50.3461,996.426,126.076,38.3307,988.86,119.025,49.6934
006335:1045.7,91.6153,146.656,1046.29,89.1783,150.483,1044.76,94.2809,149.183,1048.54,84.1028,148.965,1046.85,97.876,147.003,1053.38,74.0176,129.856,1044.64,101.2,125.858,1080.6,62.2595,104.184,1037.2,107.429,98.8813,1089,50.8032,77.2987,1025.41,110.442,70.828,1030.85,72.2999,84.9307,1029.38,89.4609,80.9807,1020.78,65.3132,56.2992,1022.32,81.4989,52.8447,1048.55,79.8324,28.3875,1037.55,88.4616,22.144,985.989,117.642,69.3748,1004.57,126.323,52.389,1000.28,127.516,39.1084,985.462,118.663,51.5839
006336:1042.81,92.5788,146.21,1044.01,90.1255,149.789,1041.28,95.2083,148.658,1048.88,84.9198,148.533,1044.91,98.7189,146.37,1054.44,74.3199,130.376,1047.19,102.466,125.376,1072.51,61.3266,108.796,1040.86,108.783,99.1892,1072.94,49.5547,87.604,1027.47,111.41,72.3629,1040.33,73.8075,85.5311,1039.41,91.6471,81.1666,1022.41,65.921,58.6707,1030.62,83.4782,54.6978,1050.9,80.919,32.765,1051.66,90.9361,24.6448,974.431,116.099,69.5861,997.724,125.552,55.6354,992.863,126.758,39.7478,982.008,118.831,52.9415
006337:1040.06,91.8149,145.791,1041.08,89.4759,149.532,1038.87,94.4553,148.206,1044,84.2739,148.221,1042.46,97.9949,145.897,1048.65,73.7016,129.926,1041.28,101.149,124.978,1070.56,61.1438,107.204,1032.97,107.284,98.4593,1074.18,50.8519,84.5766,1025.03,110.721,70.7666,1026.78,71.7175,85.6003,1027.57,89.3119,81.2417,1010.32,64.3795,57.9537,1022.02,82.0716,53.76,1027.97,78.5633,31.5319,1033.91,88.9958,23.762,974.037,116.119,69.6129,992.463,124.709,54.9365,985.941,125.988,39.8032,975.652,118.089,55.041
006338:1040.12,92.3877,146.57,1041.65,90.0313,150.16,1039.62,95.1155,148.995,1047.48,85.0769,148.732,1045.85,99.0101,146.513,1055.02,74.6856,130.44,1048.27,102.878,125.343,1079.23,61.8999,108.261,1038.87,108.966,98.4794,1077.78,50.5654,86.8748,1025.22,111.371,70.4778,1036.18,73.7459,86.0364,1036.74,91.6256,81.5276,1017.29,66.4434,59.0161,1027.81,83.9496,54.7933,1051.23,82.7046,32.1502,1051.84,92.2603,24.062,975.213,116.593,71.6886,988.703,124.351,57.9267,984.418,126.061,42.6365,978.918,118.983,54.8027
006339:1038.02,92.222,145.412,1039.01,89.8972,149.159,1036.46,94.8469,147.885,1042.75,84.7936,148.084,1040.75,98.4941,145.845,1047.72,74.1821,129.906,1043.06,102.073,124.934,1068.59,61.1932,107.802,1037.8,108.898,98.9231,1075.07,49.4381,85.7203,1026,112.035,71.7775,1030.1,72.5283,85.6353,1031.42,90.2489,81.0435,1010.06,65.1531,59.2072,1020.75,82.5629,54.8642,1036.25,81.3525,33.3993,1035.63,90.7123,25.3986,974.469,117.149,70.1362,985.847,124.469,56.5229,986.727,127.546,42.4666,976.889,119.601,53.8979
006340:1038.94,92.7168,145.4,1039.6,90.305,149.205,1038.81,95.5186,147.933,1040.92,84.8308,147.916,1041.37,98.8831,145.769,1043.55,73.9841,129.555,1039.78,101.984,125.208,1071.52,61.6339,105.637,1032.47,108.557,99.1019,1076.9,50.0481,81.3705,1020.78,111.718,71.6793,1020.76,71.9707,85.9644,1022.14,89.6501,81.8252,1014.46,65.8856,57.7118,1017.37,82.6429,54.244,1054.58,83.4154,29.3444,1036.38,90.9716,23.0685,971.375,117.297,69.2744,991.309,125.817,55.0454,989.966,128.464,40.5805,967.409,118.48,53.5568
006341:1030.74,92.5302,144.807,1032.58,90.2936,148.498,1030.45,95.1295,147.285,1038.38,85.2391,147.35,1036.9,98.6327,145.232,1045.2,74.8524,129.458,1039.65,102.07,124.631,1071.35,62.4119,108.558,1034.65,109.221,98.8844,1083.71,50.9794,88.5465,1027.86,112.999,71.5208,1024.65,73.3299,85.4726,1023.82,90.4283,81.2432,1017.81,67.3143,57.7727,1017.28,83.2949,54.5919,1064.24,85.537,29.6942,1041.36,92.3899,24.1171,983.58,119.873,70.6492,994.178,126.761,55.9275,987.263,128.057,44.0513,976.138,120.166,55.5775
006342:1038.73,92.6893,144.65,1039.56,90.3918,148.427,1037.25,95.3358,147.102,1042.58,85.6266,147.409,1041.49,99.5092,144.96,1048.4,75.6925,129.7,1042.62,103.622,123.969,1071.43,62.4847,108.621,1035.37,110.302,97.9056,1071.5,49.3955,88.1012,1025.52,112.854,71.4191,1029.51,74.3388,85.0775,1029.89,92.0831,79.8253,1007.2,65.2565,56.8312,1013.05,82.8064,52.2588,1038.34,81.1763,28.9923,1029.26,90.9001,20.5317,978.663,119.571,69.3552,985.53,126.06,55.4955,985.913,129.154,41.4909,965.656,119.089,54.7729
006343:1036.9,92.2317,144.956,1037.6,90.0039,148.792,1035.27,94.8926,147.383,1038.23,85.2611,147.466,1036.66,98.9534,145.091,1043.58,75.6864,129.441,1032.75,102.472,124.173,1074.92,63.6419,107.806,1026.62,108.98,98.3443,1086.88,51.4013,86.726,1024.79,112.496,71.2525,1018.77,73.3606,85.0155,1015.6,90.4764,80.2393,1007.54,64.981,56.1116,1003.52,82.1387,52.4757,1043.1,80.8186,27.4904,1018.03,90.1718,21.1356,976.44,119.16,72.1835,988.444,126.481,59.6062,987.305,129.105,42.9885,961.998,118.237,58.2329
006344:1042.1,94.2394,145.649,1041.24,91.5698,149.623,1043.49,97.3175,148.101,1040.79,85.8317,147.785,1048.15,101.146,145.398,1046.03,75.4333,128.987,1043.49,104.028,124.438,1076.72,63.2349,103.718,1031.47,110.06,98.4176,1094.33,52.3351,77.3157,1027.58,113.695,71.5011,1016.18,72.721,83.5173,1018.34,90.8423,79.3074,1007.37,65.9785,53.0799,1007.49,83.5488,49.6047,1018.85,78.3858,24.6007,998.226,87.6219,18.946,979.772,120.577,70.9109,988.892,127.515,58.5086,985.335,129.715,44.7889,973.463,121.34,56.3417
006345:1046.33,93.0752,143.14,1044.58,90.5959,147.33,1045.86,96.1165,145.654,1036.87,85.2918,146.395,1043.2,100.3,143.655,1036.56,75.3737,128.624,1030.51,103.125,123.524,1069.44,63.0489,103.687,1018.87,109.099,97.6479,1088.94,51.2729,77.5844,1020.6,113.008,70.7032,1003.52,71.6738,83.4971,1004.54,89.3606,78.7619,989.171,63.6484,52.6569,989.451,81.0422,48.5452,996.282,75.5277,23.7263,980.318,85.2507,16.931,968.366,118.502,73.2336,982.022,126.226,61.1536,973.702,128.093,47.8861,964.493,120.198,58.6093
006346:1044.71,94.5173,145.153,1043.46,91.9074,149.29,1044.56,97.5051,147.675,1038.76,85.9861,147.96,1043.57,101.042,145.301,1041.32,75.667,129.734,1032.27,103.363,124.75,1070.35,63.7559,105.751,1018.89,109.517,98.7057,1094.38,51.9957,80.7433,1021.36,114.561,71.8503,1011.34,72.4648,82.8437,1010.46,90.1147,78.645,1001.66,65.5979,50.7491,1000.34,82.6295,47.2941,1000.67,76.9823,21.5644,985.78,86.2547,15.631,969.9,119.995,73.1562,976.966,126.433,59.9176,986.581,131.259,48.4913,976.854,123.291,58.7986
006347:1049.93,94.8147,144.94,1048.42,92.3772,148.918,1049.34,97.8228,147.473,1040.95,86.9899,147.795,1045.21,101.583,145.236,1042.69,77.1221,130.266,1037.46,104.907,124.861,1080.81,65.3117,109.423,1028.39,111.679,98.9211,1109.28,54.3794,89.4342,1024.9,116.393,71.9859,1027.61,75.4857,83.2013,1027.89,93.3186,78.7598,1017.4,67.6175,51.8525,1014.43,85.7003,48.4472,1046.61,83.0241,21.8069,1023.59,93.9538,14.9254,978.648,122.739,73.7051,983.105,128.278,59.4929,980.882,131.476,48.9647,976.376,124.884,58.8622
